srcipinternal,dstipinternal,srcipver,dstipver,date,time,action,protocol,srcip,dstip,srcport,dstport,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,info,path
1,0,ipv4,ipv4,2022-01-29,21:21:32,ALLOW,UDP,192.168.192.1,239.255.255.250,50288,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:21:32,ALLOW,UDP,192.168.245.1,239.255.255.250,50289,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:21:32,ALLOW,UDP,10.102.30.5,239.255.255.250,50290,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:21:46,ALLOW,UDP,192.168.56.1,255.255.255.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:46,ALLOW,UDP,192.168.192.1,192.168.192.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:46,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:46,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:58,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:58,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:21:58,ALLOW,UDP,192.168.56.1,192.168.56.255,137,137,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:21:58,ALLOW,UDP,192.168.56.1,192.168.56.255,137,137,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:22:10,ALLOW,UDP,10.102.30.5,10.102.30.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:10,ALLOW,UDP,10.102.30.5,10.102.30.255,138,138,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:22:10,ALLOW,UDP,10.102.30.5,10.102.30.255,137,137,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:10,ALLOW,UDP,10.102.30.5,10.102.30.255,137,137,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:22:14,ALLOW,UDP,10.102.30.5,192.168.1.1,52276,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:14,ALLOW,UDP,10.102.30.5,192.168.1.1,63113,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:14,ALLOW,UDP,10.102.30.5,192.168.1.1,60918,53,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:22,ALLOW,UDP,192.168.192.1,192.168.192.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:22,ALLOW,UDP,192.168.192.1,192.168.192.255,138,138,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:22:22,ALLOW,UDP,192.168.192.1,192.168.192.255,137,137,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:22,ALLOW,UDP,192.168.192.1,192.168.192.255,137,137,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:22:34,ALLOW,UDP,192.168.245.1,192.168.245.255,138,138,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:34,ALLOW,UDP,192.168.245.1,192.168.245.255,138,138,0,0,0,0,0,0,0,0,RECEIVE
1,1,ipv4,ipv4,2022-01-29,21:22:35,ALLOW,UDP,10.102.30.5,192.168.1.1,64950,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:22:36,ALLOW,UDP,192.168.56.1,239.255.255.250,64951,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:22:36,ALLOW,UDP,192.168.192.1,239.255.255.250,64952,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:22:36,ALLOW,UDP,192.168.245.1,239.255.255.250,64953,1900,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:22:36,ALLOW,UDP,10.102.30.5,239.255.255.250,64954,1900,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:39,ALLOW,UDP,192.168.245.1,192.168.245.255,137,137,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:39,ALLOW,UDP,192.168.245.1,192.168.245.255,137,137,0,0,0,0,0,0,0,0,RECEIVE
1,0,ipv4,ipv4,2022-01-29,21:22:46,ALLOW,UDP,192.168.56.1,255.255.255.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:46,ALLOW,UDP,192.168.192.1,192.168.192.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:46,ALLOW,UDP,192.168.245.1,192.168.245.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:22:46,ALLOW,UDP,10.102.30.5,10.102.30.255,17500,17500,0,0,0,0,0,0,0,0,SEND
1,1,ipv4,ipv4,2022-01-29,21:23:05,ALLOW,UDP,10.102.30.5,192.168.1.1,51362,53,0,0,0,0,0,0,0,0,SEND
1,0,ipv4,ipv4,2022-01-29,21:23:05,ALLOW,TCP,10.102.30.5,140.82.113.6,50466,443,0,0,0,0,0,0,0,0,SEND
